類型,主要,次要,摘要,前置條件/先決條件,步驟,預期結果/檢查點,備註
功能,天氣系統,晝夜變化,確認停留在好奇市時，晝夜狀態可從白天切換為黃昏,"1. 確認時間為白天
2. 確認場景在好奇市
3. 測試期間保持網路正常，且不切換場景、不進入其他系統頁面",停留在原場景不做任何操作,確認初始時間為白天,測試用備註
,,,,,持續觀察20分鐘，確認晝夜是否發生變化,確認有光影變化，呈現時間流動感,
,,,,,觀察晝夜切換時的瞬間,"1. 晝夜切換過程中無明顯閃爍、黑屏、卡頓或顯示錯誤
2. NPC染色為黃昏氛圍",
UI,天氣系統,晝夜變化,確認停留在好奇市時，晝夜狀態可從黃昏切換為黑夜,"1. 確認時間為黃昏
2. 確認場景在好奇市
3. 測試期間保持網路正常，且不切換場景、不進入其他系統頁面
",停留在原場景不做任何操作,確認初始時間為白天,
,,,,,持續觀察20分鐘，確認晝夜是否發生變化,確認有光影變化，呈現時間流動感,"多行備注測試使用
確認testiny上呈現"
,,,,,觀察晝夜切換時的瞬間,"1. 晝夜切換過程中無明顯閃爍、黑屏、卡頓或顯示錯誤
2. NPC染色為黑夜氛圍",
可用性,天氣系統,晝夜變化,確認停留在好奇市時，晝夜狀態可從黑夜切換為白天,"1. 確認時間為黃昏
2. 確認場景在好奇市
3. 測試期間保持網路正常，且不切換場景、不進入其他系統頁面
",停留在原場景不做任何操作,確認初始時間為白天,
,,,,,持續觀察20分鐘，確認晝夜是否發生變化,確認有光影變化，呈現時間流動感,
,,,,,觀察晝夜切換時的瞬間,"1. 晝夜切換過程中無明顯閃爍、黑屏、卡頓或顯示錯誤
2. NPC染色為黑夜氛圍",
UI,天氣系統,晝夜變化,確認當切換手機時間時，晝夜狀態不會因為手機時間而變化,"1. 確認時間為黑夜
2. 確認場景在好奇市
3. 測試期間保持網路正常",將app縮進手機背景，將手機時間調快20分鐘並重新開啟app,確認app並未被系統關閉,
,,,,,觀察所在區域的晝夜變化,"1. 確認晝夜狀態並未變化，維持在黑夜
2. 確認畫面顯示正確，未有顯示錯誤之物件",
System,天氣系統,晝夜變化,確認停留於其他場景，回到好奇市後晝夜狀態有正常切換,"1. 確認時間為白天
2. 確認場景在喵喵島
3. 測試期間保持網路正常
",停留於喵喵島20分鐘，不進行任何操作,確認喵喵島畫面顯示正確，沒有任何變化,
,,,,,回到好奇市，觀察晝夜狀態,"1. 確認時間從白天變化成黃昏
2. 確認NPC染色為黃昏氛圍",
BackEnd,天氣系統,測試用子資料夾,確認正常登出後，即使離線時間跨過晝夜遷換時間，重新登入後晝夜扔保持登出前的狀態,"1. 確認時間為黃昏
2. 確認場景在好奇市
3. 測試期間保持網路正常
",紀錄當前晝夜狀態為黃昏,確認當前時間為黃昏,
,,,,,點擊便利機進入設定頁面,確認可正確開啟便利機的設定介面,
,,,,,點擊登出並等待20分鐘後，重新登入,確認遊戲可正常登入,
,,,,,進入到好奇市時，觀察晝夜狀態,"1. 確認晝夜狀態保持與登出前相同為黃昏
2. NPC 染色為黃昏氛圍",
